species,colony,time,origin,origin_dest_trt,dest,trt,origin_dest,time_origin_dest_trt,chla,chlaratio,totalchl,totalchlratio,chlloss,tank
gon,I,16-Jul,MV,MV_HV_cont,HV,cont,MV_HV,Jul-16_MV_HV_cont,8.306,,10.141,,,D
gon,I,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,2.566,0.571,3.477,0.597,40.342,C
gon,I,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,4.497,,5.829,,,D
gon,I,16-Jul,LV,LV_HV_heat,HV,heat,LV_HV,Jul-16_LV_HV_heat,2.641,0.621,3.427,0.606,39.405,C
gon,I,16-Jul,LV,LV_HV_cont,HV,cont,LV_HV,Jul-16_LV_HV_cont,4.254,,5.656,,,D
gon,I,16-Jul,LV,LV_LV_heat,LV,heat,LV_LV,Jul-16_LV_LV_heat,3.205,0.665,4.119,0.653,34.672,C
gon,I,16-Jul,LV,LV_LV_cont,LV,cont,LV_LV,Jul-16_LV_LV_cont,4.819,,6.305,,,D
gon,J,16-Jul,HV,HV_HV_heat,HV,heat,HV_HV,Jul-16_HV_HV_heat,2.581,0.453,3.221,0.436,56.366,C
gon,J,16-Jul,HV,HV_HV_cont,HV,cont,HV_HV,Jul-16_HV_HV_cont,5.703,,7.383,,,D
gon,J,16-Jul,MV,MV_HV_heat,HV,heat,MV_HV,Jul-16_MV_HV_heat,2.947,0.471,3.949,0.494,50.647,C
gon,J,16-Jul,MV,MV_HV_cont,HV,cont,MV_HV,Jul-16_MV_HV_cont,6.252,,8.001,,,D
gon,J,16-Jul,MV,MV_MV_heat,MV,heat,MV_MV,Jul-16_MV_MV_heat,4.176,0.609,5.482,0.603,39.737,C
gon,J,16-Jul,MV,MV_MV_cont,MV,cont,MV_MV,Jul-16_MV_MV_cont,6.854,,9.097,,,D
gon,J,16-Jul,LV,LV_HV_heat,HV,heat,LV_HV,Jul-16_LV_HV_heat,3.357,0.643,4.281,0.621,37.855,C
gon,J,16-Jul,LV,LV_HV_cont,HV,cont,LV_HV,Jul-16_LV_HV_cont,5.218,,6.888,,,D
gon,J,16-Jul,LV,LV_LV_heat,LV,heat,LV_LV,Jul-16_LV_LV_heat,2.963,1.354,4.015,1.486,-48.614,C
gon,J,16-Jul,LV,LV_LV_cont,LV,cont,LV_LV,Jul-16_LV_LV_cont,2.189,,2.701,,,D
por,A,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,0.963,0.215,1.243,0.21,79,A
por,A,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,4.477,,5.92,,,B
por,B,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,0.592,0.153,0.758,0.148,85.197,A
por,B,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,3.862,,5.124,,,B
por,C,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,0.552,0.112,0.73,0.119,88.079,A
por,C,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,4.935,,6.124,,,B
por,D,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,4.427,1.76,1.814,0.175,82.514,C
por,D,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,2.515,,10.372,,,D
por,E,16-Jan,HV,HV_HV_heat,HV,heat,HV_HV,Jan-16_HV_HV_heat,2.069,0.545,2.638,0.529,47.067,C
por,E,16-Jan,HV,HV_HV_cont,HV,cont,HV_HV,Jan-16_HV_HV_cont,3.8,,4.984,,,D
por,A,16-Jan,MV,MV_HV_heat,HV,heat,MV_HV,Jan-16_MV_HV_heat,3.502,0.913,4.462,0.914,8.581,A
por,A,16-Jan,MV,MV_HV_cont,HV,cont,MV_HV,Jan-16_MV_HV_cont,3.835,,4.881,,,B
